Id,SalePrice
1461,168674.17
1462,169891.77
1463,183887.95
1464,199378.94
1465,162027.42
1466,176885.03
1467,174372.4
1468,167911.39
1469,183251.0
1470,114553.8
1471,193307.58
1472,113802.16
1473,112570.53
1474,172182.34
1475,113529.77
1476,319581.5
1477,234696.86
1478,269299.88
1479,275578.6
1480,405442.72
1481,293125.28
1482,205129.72
1483,160440.88
1484,162618.78
1485,172148.48
1486,189749.62
1487,289104.72
1488,247409.89
1489,152782.47
1490,190940.39
1491,193626.72
1492,123203.17
1493,195985.52
1494,288555.88
1495,276733.56
1496,197065.9
1497,154618.72
1498,141045.98
1499,132830.97
1500,137677.03
1501,141760.11
1502,128503.734
1503,239597.39
1504,204961.77
1505,194343.84
1506,210244.61
1507,259668.4
1508,226550.73
1509,171082.75
1510,161004.03
1511,140359.77
1512,183343.75
1513,165021.92
1514,192481.39
1515,234622.28
1516,156251.52
1517,193265.05
1518,164561.44
1519,237645.9
1520,127953.21
1521,129989.36
1522,197091.58
1523,110427.086
1524,122274.73
1525,118537.195
1526,119812.28
1527,108297.31
1528,134177.31
1529,153213.28
1530,205116.53
1531,127010.74
1532,97441.875
1533,133101.39
1534,122839.68
1535,143730.47
1536,99499.195
1537,104569.73
1538,160204.23
1539,180106.61
1540,109284.414
1541,140579.88
1542,157477.69
1543,199670.28
1544,101134.93
1545,119623.6
1546,135638.34
1547,162708.52
1548,133099.62
1549,127015.56
1550,127441.164
1551,114726.03
1552,142903.77
1553,141770.77
1554,117703.06
1555,214253.66
1556,79431.06
1557,105437.87
1558,104949.5
1559,126036.94
1560,156574.92
1561,135938.16
1562,133799.38
1563,107050.055
1564,187203.97
1565,163665.08
1566,247157.61
1567,101742.32
1568,233787.1
1569,159421.44
1570,145060.77
1571,134430.73
1572,162982.84
1573,249965.44
1574,117357.01
1575,234894.61
1576,272663.97
1577,180001.36
1578,162189.72
1579,141806.22
1580,193026.75
1581,144982.47
1582,128838.26
1583,316078.1
1584,222940.25
1585,134323.55
1586,101330.44
1587,113401.32
1588,154357.55
1589,107670.95
1590,147734.89
1591,88234.414
1592,112198.21
1593,122029.69
1594,157192.97
1595,141186.9
1596,220096.45
1597,183049.53
1598,182155.95
1599,174101.39
1600,165485.9
1601,66331.34
1602,96587.25
1603,96466.23
1604,211271.22
1605,236436.95
1606,197495.56
1607,200636.97
1608,207063.78
1609,169505.1
1610,148171.88
1611,152630.66
1612,172643.73
1613,171276.64
1614,124512.25
1615,92696.555
1616,72381.98
1617,103221.375
1618,124931.75
1619,158736.95
1620,193032.0
1621,140316.45
1622,148930.4
1623,274610.97
1624,210151.44
1625,128359.09
1626,206543.78
1627,188829.98
1628,269877.6
1629,180697.67
1630,313370.56
1631,187264.05
1632,211455.2
1633,167548.44
1634,185982.72
1635,179588.5
1636,155638.4
1637,192334.92
1638,223344.5
1639,211491.92
1640,301066.03
1641,197982.89
1642,195860.1
1643,174054.97
1644,191229.61
1645,251288.52
1646,170361.64
1647,154664.17
1648,135397.31
1649,138413.84
1650,138301.84
1651,136841.7
1652,110304.69
1653,119707.234
1654,167907.64
1655,168145.06
1656,161303.95
1657,167222.27
1658,164377.42
1659,132451.95
1660,171393.45
1661,355606.7
1662,334308.06
1663,341191.66
1664,409006.03
1665,288749.88
1666,308196.0
1667,321335.84
1668,308964.28
1669,273537.7
1670,299036.25
1671,274346.9
1672,352012.6
1673,271647.38
1674,261544.6
1675,207377.75
1676,203612.89
1677,212000.95
1678,396670.6
1679,340508.84
1680,287710.62
1681,238150.36
1682,292613.97
1683,195246.1
1684,181243.61
1685,175055.47
1686,169150.2
1687,167262.86
1688,192330.83
1689,191238.73
1690,192879.08
1691,180096.47
1692,240242.61
1693,151276.8
1694,177714.48
1695,161312.22
1696,236671.94
1697,165436.06
1698,333090.72
1699,292772.53
1700,246935.9
1701,271316.2
1702,238333.08
1703,234031.64
1704,283626.88
1705,232889.8
1706,362229.53
1707,167225.19
1708,167981.77
1709,237112.8
1710,198817.84
1711,227771.97
1712,229699.52
1713,241176.2
1714,192114.39
1715,165553.23
1716,179077.4
1717,159119.08
1718,121514.125
1719,191368.11
1720,225384.88
1721,161945.78
1722,117820.29
1723,154262.34
1724,211368.88
1725,229216.86
1726,176328.34
1727,154160.94
1728,168343.48
1729,182929.77
1730,205681.38
1731,107861.26
1732,140114.25
1733,119701.13
1734,115933.39
1735,142756.25
1736,130041.914
1737,331887.84
1738,236231.19
1739,185162.06
1740,207083.19
1741,179972.34
1742,147691.86
1743,147977.56
1744,279387.66
1745,222104.19
1746,235910.44
1747,252452.53
1748,251281.5
1749,192538.73
1750,170823.56
1751,273564.1
1752,113689.78
1753,158680.36
1754,233142.61
1755,184102.81
1756,133059.73
1757,110590.45
1758,170037.61
1759,172326.3
1760,207409.39
1761,186294.83
1762,195010.47
1763,174420.77
1764,101322.03
1765,212918.0
1766,189219.55
1767,264402.3
1768,150265.95
1769,182712.7
1770,163160.42
1771,126128.06
1772,169694.05
1773,156946.1
1774,141959.16
1775,135144.05
1776,118706.09
